Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.,Rotatividade
353370,Outubro/2020,638.0,5,8,-3,-0.47,Ocauçu,-22.438000000000002,-49.922,3533700,8,Marília,0.01018808777429467
353380,Outubro/2020,164.0,1,1,0,0.0,Óleo,-22.9435,-49.3419,3533809,8,Marília,0.006097560975609756
353390,Outubro/2020,14859.0,598,379,219,1.5,Olímpia,-20.7366,-48.9106,3533908,3,Barretos,0.03287569823002894
353400,Outubro/2020,2155.0,36,53,-17,-0.78,Onda Verde,-20.6042,-49.2929,3534005,13,São José do Rio Preto,0.020649651972157772
353410,Outubro/2020,618.0,24,18,6,0.98,Oriente,-22.1549,-50.0971,3534104,8,Marília,0.03398058252427184
353420,Outubro/2020,3282.0,41,41,0,0.0,Orindiúva,-20.1861,-49.3464,3534203,13,São José do Rio Preto,0.012492382693479586
353430,Outubro/2020,10833.0,611,269,342,3.26,Orlândia,-20.7169,-47.8852,3534302,6,Franca,0.04061663435798025
353440,Outubro/2020,150544.0,5941,5375,566,0.38,Osasco,-23.5324,-46.7916,3534401,15,São Paulo,0.03758369646083537
353450,Outubro/2020,216.0,5,2,3,1.41,Oscar Bressane,-22.3149,-50.2811,3534500,8,Marília,0.016203703703703703
353460,Outubro/2020,6785.0,233,160,73,1.09,Osvaldo Cruz,-21.7968,-50.8793,3534609,9,Presidente Prudente,0.028960943257184967
353470,Outubro/2020,24315.0,929,672,257,1.07,Ourinhos,-22.9797,-49.8697,3534708,8,Marília,0.03292206456919597
353475,Outubro/2020,2100.0,54,33,21,1.01,Ouroeste,-20.0061,-50.3768,3534757,13,São José do Rio Preto,0.020714285714285713
353480,Outubro/2020,448.0,5,7,-2,-0.44,Ouro Verde,-21.4872,-51.7024,3534807,9,Presidente Prudente,0.013392857142857142
353490,Outubro/2020,1699.0,18,15,3,0.18,Pacaembu,-21.5627,-51.2654,3534906,9,Presidente Prudente,0.009711595055915245
353500,Outubro/2020,3731.0,34,46,-12,-0.32,Palestina,-20.39,-49.4309,3535002,13,São José do Rio Preto,0.010720986330742428
353510,Outubro/2020,949.0,13,63,-50,-5.01,Palmares Paulista,-21.0854,-48.8037,3535101,13,São José do Rio Preto,0.040042149631190724
353520,Outubro/2020,838.0,31,15,16,1.95,Palmeira d'Oeste,-20.4148,-50.7632,3535200,13,São José do Rio Preto,0.027446300715990454
353530,Outubro/2020,3724.0,97,54,43,1.17,Palmital,-22.7858,-50.218,3535309,8,Marília,0.02027389903329753
353540,Outubro/2020,2698.0,105,71,34,1.28,Panorama,-21.354,-51.8562,3535408,9,Presidente Prudente,0.03261675315048184
353550,Outubro/2020,11529.0,198,179,19,0.17,Paraguaçu Paulista,-22.4114,-50.5732,3535507,8,Marília,0.016350073727122907
353560,Outubro/2020,1769.0,64,31,33,1.9,Paraibuna,-23.3872,-45.6639,3535606,14,São José dos Campos,0.026851328434143583
353570,Outubro/2020,1889.0,25,35,-10,-0.53,Paraíso,-21.0159,-48.7761,3535705,13,São José do Rio Preto,0.015881418740074114
