Código MTE,Período,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%),Nome,Latitude,Longitude,Código IBGE,ID Reg. Adm.,Apelido Reg. Adm.
354620,Junho/2020,1021.0,22,27,-5,-0.49,Santa Cruz da Conceição,-22.1405,-47.4512,3546207,5,Campinas
354625,Junho/2020,424.0,0,1,-1,-0.24,Santa Cruz da Esperança,-21.2951,-47.4304,3546256,11,Ribeirão Preto
354630,Junho/2020,6412.0,130,109,21,0.33,Santa Cruz das Palmeiras,-21.8235,-47.24800000000001,3546306,5,Campinas
354640,Junho/2020,13865.0,714,213,501,3.75,Santa Cruz do Rio Pardo,-22.8988,-49.6354,3546405,8,Marília
354650,Junho/2020,312.0,10,11,-1,-0.32,Santa Ernestina,-21.4618,-48.3953,3546504,1,São Carlos
354660,Junho/2020,6386.0,116,125,-9,-0.14,Santa Fé do Sul,-20.2083,-50.932,3546603,13,São José do Rio Preto
354670,Junho/2020,7751.0,300,132,168,2.22,Santa Gertrudes,-22.4572,-47.5272,3546702,5,Campinas
354680,Junho/2020,9656.0,179,183,-4,-0.04,Santa Isabel,-23.3172,-46.2237,3546801,15,São Paulo
354690,Junho/2020,635.0,42,8,34,5.66,Santa Lúcia,-21.685,-48.0885,3546900,1,São Carlos
354700,Junho/2020,1175.0,29,19,10,0.86,Santa Maria da Serra,-22.5661,-48.1593,3547007,5,Campinas
354710,Junho/2020,239.0,15,1,14,6.22,Santa Mercedes,-21.3495,-51.7564,3547106,9,Presidente Prudente
354720,Junho/2020,73.0,1,0,1,1.39,Santana da Ponte Pensa,-20.2523,-50.8014,3547205,13,São José do Rio Preto
354730,Junho/2020,45033.0,891,1571,-680,-1.49,Santana de Parnaíba,-23.4439,-46.9178,3547304,15,São Paulo
354740,Junho/2020,123.0,2,0,2,1.65,Santa Rita d'Oeste,-20.1414,-50.8358,3547403,13,São José do Rio Preto
354750,Junho/2020,6030.0,146,161,-15,-0.25,Santa Rita do Passa Quatro,-21.7083,-47.478,3547502,1,São Carlos
354760,Junho/2020,4211.0,54,114,-60,-1.4,Santa Rosa de Viterbo,-21.4776,-47.3622,3547601,11,Ribeirão Preto
354765,Junho/2020,117.0,3,1,2,1.74,Santa Salete,-20.2429,-50.6887,3547650,13,São José do Rio Preto
354770,Junho/2020,2757.0,31,45,-14,-0.51,Santo Anastácio,-21.9747,-51.6527,3547700,9,Presidente Prudente
354780,Junho/2020,192765.0,4413,5399,-986,-0.51,Santo André,-23.6737,-46.5432,3547809,15,São Paulo
354790,Junho/2020,795.0,17,18,-1,-0.13,Santo Antônio da Alegria,-21.0864,-47.1464,3547908,11,Ribeirão Preto
354800,Junho/2020,6190.0,128,169,-41,-0.66,Santo Antônio de Posse,-22.6029,-46.9192,3548005,5,Campinas
354805,Junho/2020,1117.0,17,10,7,0.63,Santo Antônio do Aracanguá,-20.9331,-50.49800000000001,3548054,2,Araçatuba
354810,Junho/2020,970.0,13,18,-5,-0.51,Santo Antônio do Jardim,-22.1121,-46.6845,3548104,5,Campinas
354820,Junho/2020,1131.0,7,17,-10,-0.88,Santo Antônio do Pinhal,-22.827,-45.663,3548203,14,São José dos Campos
354830,Junho/2020,82.0,1,8,-7,-7.87,Santo Expedito,-21.8467,-51.3929,3548302,9,Presidente Prudente
354840,Junho/2020,302.0,2,7,-5,-1.63,Santópolis do Aguapeí,-21.6376,-50.5044,3548401,2,Araçatuba
354850,Junho/2020,160714.0,2354,3215,-861,-0.53,Santos,-23.9535,-46.335,3548500,12,Santos
354860,Junho/2020,1479.0,17,17,0,0.0,São Bento do Sapucaí,-22.6837,-45.7287,3548609,14,São José dos Campos
354870,Junho/2020,237711.0,5177,6923,-1746,-0.73,São Bernardo do Campo,-23.6914,-46.5646,3548708,15,São Paulo
354880,Junho/2020,105983.0,2308,2621,-313,-0.29,São Caetano do Sul,-23.6229,-46.5548,3548807,15,São Paulo
354890,Junho/2020,70685.0,1370,1789,-419,-0.59,São Carlos,-22.0174,-47.886,3548906,1,São Carlos
354900,Junho/2020,64.0,1,3,-2,-3.03,São Francisco,-20.3623,-50.6952,3549003,13,São José do Rio Preto
354910,Junho/2020,21128.0,355,475,-120,-0.56,São João da Boa Vista,-21.9707,-46.7944,3549102,5,Campinas
